Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Badminton duration (ms),Rowing machine duration (ms),Jogging duration (ms),Paced walking duration (ms)
2021-10-17,107,1251.7062417348227,7740.0,,,88.3731343283582,158.0,52.0,,,,,0.1687262328364081,0.6111111044883728,0.02298850752413273,9262,,,,,,,,,,,
2021-10-18,30,1925.8568891960279,5670.0,,,71.35314685314685,150.0,47.0,,,,,0.12859395451794492,0.3910256624221802,0.009259259328246117,7798,,,,,,,,,,,
2021-10-19,151,2254.5618254767555,9300.0,,,74.32167832167832,174.0,46.0,,,,,0.17220649210859873,0.5694444179534912,0.0,11096,,,,,,,,,,,
2021-10-20,121,2018.263127894962,6570.0,,,70.86363636363636,157.0,46.0,,,,,0.2018463078838915,0.9999999403953552,0.014814814552664757,8638,,,,,,,,,,,
2021-10-21,,1789.0957458962198,2850.0,,,72.73776223776224,151.0,48.0,,,,,,,,3854,,,,,,,,,,,
2021-10-22,64,1946.290258504474,5010.0,,,68.14685314685315,155.0,47.0,,,,,,,,6381,,,,,,,,,,,
2021-10-23,130,2026.634290669536,7620.0,,,71.44755244755245,160.0,45.0,,,,,,,,10525,,,,,,,,,,,
2021-10-24,268,2443.6387840501206,14029.851474046707,55.0,44,70.22727272727273,140.0,47.0,,,,,1.1707770049528625,2.8634886741638184,0.2515699565410614,18100,81.0,81.0,81.0,,,6425858,433503,,,,
2021-10-25,5,1805.1021693429568,3115.5921382904053,,,69.9055944055944,159.0,46.0,,,,,,,,4273,,,,,,796159,,,,,
2021-10-26,60,1989.002756140472,6470.0,,,67.79020979020979,165.0,46.0,,,,,,,,8209,,,,,,195870,,,,,
2021-10-27,54,1944.6930504263726,5540.0,,,70.2027972027972,168.0,46.0,,,,,,,,6847,,,,,,,,,,,
2021-10-28,,1881.6617825204225,4640.0,,,64.4051094890511,151.0,46.0,,,,,,,,6395,,,,,,461598,,,,,
2021-10-29,19,1833.3534597500989,3670.0,,,68.01748251748252,113.0,47.0,,,,,,,,5084,,,,,,,,,,,
2021-10-30,222,2191.397616075915,10911.907640218735,91.0,65,72.0909090909091,132.0,46.0,,,,,1.4580463946383626,3.004047155380249,0.2958429157733917,14919,,,,,,6574759,,,,,
2021-10-31,1,1795.387463336124,2780.155393600464,,,69.61538461538461,135.0,48.0,,,,,,,,3840,,,,,,,,,,,
2021-11-01,,1799.4388484807992,3120.0,,,67.88461538461539,100.0,47.0,,,,,,,,4319,,,,,,,,,,,
2021-11-02,74,1918.3632063571133,4740.0,30.0,17,67.67832167832168,118.0,46.0,,,,,1.1822831525558117,1.9501316547393799,0.30680006742477417,6252,,,,,,1581338,277388,,,,
2021-11-03,,1741.754878015362,1920.0,,,68.9895104895105,154.0,46.0,,,,,,,,2654,,,,,,,,,,,
